EG1,pro1,pro2,pro3,pro4,pro5,pro6,,,,,,average time,,,,,,,,,,,,,
Before,120,243,,,,,,,,,,181.5,,,,,avg before,,avg after,,,,,,
After,,,107,459,345,,,,,,,303.6666667,,,,,270.0666667,,146.0588235,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG 2,,,,,,,,,,,,,,,,,,,,,,,,,
Before,68,108,,,,,,,,,,88,,,,,total time savings,,,,,,,,
After,,,50,25,106,,,,,,,60.33333333,,,,,0.459174931,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG3,,,,,,,,,,,,,,,,,,,,,,,,,
Before,107,304,,,,,,,,,,205.5,,,,,mann whitney p-value,,,,,,,,
After,,,233,181,92,,,,,,,168.6666667,,,,,0.03318,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG4,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,529,648,975,,,,,,,717.3333333,,,,,,,,,,,,,
After,83,411,,,,,,,,,,247,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG5,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,122,60,234,,,,,,,138.6666667,,,,,,,,,,,,,
After,66,100,,,,35,,,,,,67,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG6,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,69,259,205,,,,,,,177.6666667,,,,,,,,,,,,,
After,90,59,,,,41,,,,,,63.33333333,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
